x,y,z,yaw,V,a,dist,time
21921.39308,51753.80591,257.9,1.50029119,1.0,0.0,0.0,0.0
21921.65339,51757.49187,257.9,1.47554165,1.0,0.0,3.695140378614031,3.695140378614031
21922.10921,51762.26275,257.9,1.470635917,1.0,0.0,8.4877459170278,8.4877459170278
21922.59318,51767.07839,257.9,1.477490847,1.0,0.0,13.327644218697781,13.327644218697781
21923.04493,51771.90604,257.9,1.486662333,1.0,0.0,18.17638452778767,18.17638452778767
21923.45095,51776.72051,257.9,1.480501773,1.0,0.0,23.007944692090188,23.007944692090188
21923.88578,51781.52306,257.9,1.483008402,1.0,0.0,27.830139589790296,27.830139589790296
21924.30894,51786.33092,257.9,1.481638221,1.0,0.0,32.65658571144196,32.65658571144196
21924.73912,51791.14311,257.9,1.478390634,1.0,0.0,37.487965165435384,37.487965165435384
21925.18527,51795.95744,257.9,1.47852229,1.0,0.0,42.32292361111134,42.32292361111134
21925.63092,51800.77335,257.9,1.487790651,1.0,0.0,47.159409220584855,47.159409220584855
21926.03181,51805.59201,257.9,1.484420479,1.0,0.0,51.994716551838316,51.994716551838316
21926.44773,51810.3953,257.9,1.48202526,1.0,0.0,56.81598031463568,56.81598031463568
21926.8756,51815.20243,257.9,1.484539402,1.0,0.0,61.642114541302995,61.642114541302995
21927.29099,51820.00625,257.9,1.476684556,1.0,0.0,66.4638606404367,66.4638606404367
21927.74543,51824.82078,257.9,1.484866623,1.0,0.0,71.29979021338642,71.29979021338642
21928.15928,51829.62506,257.9,1.477723081,1.0,0.0,76.12186218929766,76.12186218929766
21928.60853,51834.43789,257.9,1.48029927,1.0,0.0,80.95561416591232,80.95561416591232
21929.04547,51839.25302,257.9,1.479783641,1.0,0.0,85.79052817553601,85.79052817553601
21929.48231,51844.0394,257.9,1.473626681,1.0,0.0,90.59680143972383,90.59680143972383
21929.95166,51848.85449,257.9,1.474235,1.0,0.0,95.4347122626478,95.4347122626478
21930.4194,51853.68334,257.9,1.491068981,1.0,0.0,100.28616287356323,100.28616287356323
21930.80378,51858.49426,257.9,1.484717929,1.0,0.0,105.11241392699628,105.11241392699628
21931.21754,51863.28934,257.9,1.47727548,1.0,0.0,109.92531217483368,109.92531217483368
21931.66953,51868.10825,257.9,1.490383347,1.0,0.0,114.76537297488,114.76537297488
21932.05779,51872.92612,257.9,1.482319887,1.0,0.0,119.59886210432775,119.59886210432775
21932.48439,51877.73514,257.9,1.490756917,1.0,0.0,124.42676650690325,124.42676650690325
21932.87377,51882.58961,257.9,1.505337975,1.0,0.0,129.29682767339312,129.29682767339312
21933.18893,51887.39735,257.9,1.488004418,1.0,0.0,134.11488638340987,134.11488638340987
21933.58536,51892.17474,257.9,1.486146296,1.0,0.0,138.90869613735595,138.90869613735595
21933.99509,51897.00337,257.9,1.493290799,1.0,0.0,143.7546786331729,143.7546786331729
21934.37009,51901.83209,257.9,1.496605168,1.0,0.0,148.59793805616977,148.59793805616977
21934.72822,51906.65031,257.9,1.490909048,1.0,0.0,153.42944931717705,153.42944931717705
21935.11304,51911.45707,257.9,1.491108584,1.0,0.0,158.25158868990306,158.25158868990306
21935.49814,51916.27946,257.9,1.501828883,1.0,0.0,163.0893306551293,163.0893306551293
21935.83083,51921.09571,257.9,1.487655977,1.0,0.0,167.91705752174397,167.91705752174397
21936.23077,51925.89513,257.9,1.489264115,1.0,0.0,172.73311237400205,172.73311237400205
21936.62429,51930.71091,257.9,1.49030209,1.0,0.0,177.56494380720045,177.56494380720045
21937.01296,51935.52902,257.9,1.494064446,1.0,0.0,182.39870511088537,182.39870511088537
21937.3834,51940.34726,257.9,1.495421808,1.0,0.0,187.23116437002085,187.23116437002085
21937.74708,51945.16313,257.9,1.490547231,1.0,0.0,192.06074685707785,192.06074685707785
21938.13453,51949.98089,257.9,1.493649042,1.0,0.0,196.8940613430264,196.8940613430264
21938.507,51954.79935,257.9,1.497390154,1.0,0.0,201.726895984572,201.726895984572
21938.86098,51959.61286,257.9,1.492990297,1.0,0.0,206.55340407640188,206.55340407640188
21939.23588,51964.42152,257.9,1.492611594,1.0,0.0,211.37665619562833,211.37665619562833
21939.61281,51969.2327,257.9,1.491281993,1.0,0.0,216.20257882423206,216.20257882423206
21939.99722,51974.05703,257.9,1.491751373,1.0,0.0,221.0421997801574,221.0421997801574
21940.37829,51978.8678,257.9,1.490787061,1.0,0.0,225.86803880956617,225.86803880956617
21940.76456,51983.68538,257.9,1.495574814,1.0,0.0,230.70107942281624,230.70107942281624
21941.12772,51988.50413,257.9,1.493976764,1.0,0.0,235.53349463139327,235.53349463139327
21941.49854,51993.32175,257.9,1.500559033,1.0,0.0,240.36536486317885,240.36536486317885
21941.83912,51998.16273,257.9,1.502997784,1.0,0.0,245.21831057653048,245.21831057653048
21942.16611,52002.97833,257.9,1.497815349,1.0,0.0,250.04499948510073,250.04499948510073
21942.51752,52007.78491,257.9,1.485787784,1.0,0.0,254.86440819204196,254.86440819204196
21942.92938,52012.61808,257.9,1.493845551,1.0,0.0,259.71509483503195,259.71509483503195
21943.30085,52017.43591,257.9,1.49611574,1.0,0.0,264.5472243728029,264.5472243728029
21943.66139,52022.25484,257.9,1.495311686,1.0,0.0,269.3796228907765,269.3796228907765
21944.02595,52027.07518,257.9,1.488574172,1.0,0.0,274.2137289828253,274.2137289828253
21944.42208,52031.88212,257.9,1.490440609,1.0,0.0,279.03696349303954,279.03696349303954
21944.81205,52036.72476,257.9,1.502073283,1.0,0.0,283.89527994737375,283.89527994737375
21945.14363,52041.54201,257.9,1.493653824,1.0,0.0,288.7239280872675,288.7239280872675
21945.51526,52046.34991,257.9,1.488902065,1.0,0.0,293.5461693988257,293.5461693988257
21945.9122,52051.18599,257.9,1.496053469,1.0,0.0,298.39851224841993,298.39851224841993
21946.27433,52056.02205,257.9,1.504588051,1.0,0.0,303.24811166079564,303.24811166079564
21946.59384,52060.84082,257.9,1.487284083,1.0,0.0,308.07746264752063,308.07746264752063
21946.9956,52065.64051,257.9,1.491655229,1.0,0.0,312.8939380386854,312.8939380386854
21947.37879,52070.47221,257.9,1.494080359,1.0,0.0,317.7408091393156,317.7408091393156
21947.74968,52075.29725,257.9,1.495726124,1.0,0.0,322.5800828858331,322.5800828858331
21948.11144,52080.10717,257.9,1.491939134,1.0,0.0,327.40358790853156,327.40358790853156
21948.49269,52084.9319,257.9,1.495224348,1.0,0.0,332.24335764844704,332.24335764844704
21948.85687,52089.74159,257.9,1.485375399,1.0,0.0,337.0668154297952,337.0668154297952
21949.26886,52094.55298,257.9,1.484693391,1.0,0.0,341.89581216744426,341.89581216744426
21949.68606,52099.38629,257.9,1.492751457,1.0,0.0,346.74709461604664,346.74709461604664
21950.06393,52104.21826,257.9,1.497264856,1.0,0.0,351.5938172012369,351.5938172012369
21950.41774,52109.02121,257.9,1.494504974,1.0,0.0,356.4097813018689,356.4097813018689
21950.78474,52113.82238,257.9,1.484377146,1.0,0.0,361.2249575570944,361.2249575570944
21951.20425,52118.6646,257.9,1.493396794,1.0,0.0,366.0853158945513,366.0853158945513
21951.57806,52123.4846,257.9,1.487046378,1.0,0.0,370.9197893835848,370.9197893835848
21951.9799,52128.27151,256.9319442,1.493453244,1.0,0.0,375.7235361227098,375.7235361227098
21952.35365,52133.09422,255.9502735,1.490386157,1.0,0.0,380.5607068667094,380.5607068667094
21952.74247,52137.91912,254.9497928,1.477559668,1.0,0.0,385.4012482622969,385.4012482622969
21953.19376,52142.74542,253.9409014,1.486489846,1.0,0.0,390.24860159727297,390.24860159727297
21953.60139,52147.56907,252.9164461,1.481240292,1.0,0.0,395.08944465808236,395.08944465808236
21954.03405,52152.38727,251.8749096,1.47808351,1.0,0.0,399.9270314444474,399.9270314444474
21954.48149,52157.19956,250.8173299,1.476312488,1.0,0.0,404.7600778540855,404.7600778540855
21954.93714,52162.00776,249.7467155,1.489305111,1.0,0.0,409.5898194789034,409.5898194789034
21955.33062,52166.82553,248.653864,1.485441985,1.0,0.0,414.42363104777047,414.42363104777047
21955.74312,52171.6466,247.5433576,1.478394928,1.0,0.0,419.2623160132214,419.2623160132214
21956.18812,52176.4488,246.4089638,1.472978001,1.0,0.0,424.08509009459647,424.08509009459647
21956.6598,52181.25547,245.2543865,1.483262983,1.0,0.0,428.91484769837786,428.91484769837786
21957.08303,52186.07808,244.0732418,1.473631399,1.0,0.0,433.7559933112497,433.7559933112497
21957.55239,52190.89346,242.86864,1.480726159,1.0,0.0,438.5941937364077,438.5941937364077
21957.98757,52195.71198,241.6373181,1.474071275,1.0,0.0,443.43232525826687,443.43232525826687
21958.45269,52200.50562,240.3703548,1.47670743,1.0,0.0,448.2484773596888,448.2484773596888
21958.90999,52205.35163,239.0792748,1.490835685,1.0,0.0,453.1160163898397,453.1160163898397
21959.29637,52210.17344,237.7545028,1.483839551,1.0,0.0,457.95328226846493,457.95328226846493
21959.71299,52214.95245,236.3935898,1.469179409,1.0,0.0,462.7504177475279,462.7504177475279
21960.20318,52219.75975,234.9817898,1.479566761,1.0,0.0,467.58264492824947,467.58264492824947
21960.64456,52224.58441,233.545498,1.485275511,1.0,0.0,472.42745250131725,472.42745250131725
21961.05906,52229.41941,232.0564117,1.473817134,1.0,0.0,477.2801873230431,477.2801873230431
21961.52953,52234.25537,230.5249669,1.492802433,1.0,0.0,482.1389784424954,482.1389784424954
21961.90468,52239.05566,228.9476492,1.476348689,1.0,0.0,486.95390540005064,486.95390540005064
21962.35838,52243.84513,227.2993704,1.471887746,1.0,0.0,491.7648165997023,491.7648165997023
21962.83671,52248.66539,225.5958367,1.494590183,1.0,0.0,496.60875157619637,496.60875157619637
21963.20273,52253.45903,223.816612,1.477672752,1.0,0.0,501.4163450583832,501.4163450583832
21963.65341,52258.2846,221.9464519,1.480798297,1.0,0.0,506.2629148027804,506.2629148027804
21964.089,52263.1116,219.986007,1.483751484,1.0,0.0,511.10952884230085,511.10952884230085
